Index,Indx Code,Grp,Short Desc,Orig,Size1,Size2,Desc,Size1 Dec,Size2 Dec
242,16,FLG,FLANGE-WN,.75" SAE 4-BOLT WN FLANGE, CODE 62, FLAT FACE, ,.75",,SAE 4-BOLT WN FLANGE, CODE 62, FLAT FACE,,0.75,0
243,16,FLG,FLANGE-WN,.75" SAE 4-BOLT WN FLANGE, CODE 62, O-RING FACE, ,.75",,SAE 4-BOLT WN FLANGE, CODE 62, O-RING FACE,,0.75,0
244,50,SP-ITEM,STEAM TRAP,.75" SCREWED STEAM TRAP ,.75",,SCREWED STEAM TRAP,0.75,0
245,50,SP-ITEM,STEAM TRAP,.75" SCREWED STEAM TRAP *****,.75",,SCREWED STEAM TRAP *****,0.75,0
246,37,MISC,ROUND BAR,.75" SOLID ROUND PLUG A182-F316/316L SS (THRD),.75",,SOLID ROUND PLUG A182-F316/316L SS (THRD),0.75,0
247,37,MISC,ROUND BAR,.75" SOLID ROUND PLUG NITRONIC 60 WITH LANYARD,.75",,SOLID ROUND PLUG NITRONIC 60 WITH LANYARD,0.75,0
248,37,MISC,ROUND BAR,.75" SOLID ROUND THRD NITRONIC 60 PLUG WITH LANYARD ,.75",,SOLID ROUND THRD NITRONIC 60 PLUG WITH LANYARD,0.75,0
249,32,FTG,TEE,.75" SOLID STEEL ROUND THRD PLUG A182-F316SS,.75",,SOLID STEEL ROUND THRD PLUG A182-F316SS,0.75,0
250,32,FTG,TEE,.75" SOLID STEEL ROUND THREADED PLUG A105 CS,.75",,SOLID STEEL ROUND THREADED PLUG A105 CS,0.75,0
251,32,FTG,TEE,.75" SOLID STEEL SCREWED PLUG A105 CS,.75",,SOLID STEEL SCREWED PLUG A105 CS,0.75,0
252,73,TUBING,TUBE-CLAMP-STAUFF,.75" STAUFF CLAMP SPAL/DUEB 4019,.75",,STAUFF CLAMP SPAL/DUEB 4019,0.75,0
253,73,TUBING,TUBE-CLAMP-STAUFF,.75" STAUFF CLAMP SPAL/DUEB 4026.9,.75",,STAUFF CLAMP SPAL/DUEB 4026.9,0.75,0
254,70,SUPT,U-BOLT,.75" STD U-BOLT  ANVIL FIG 137,.75",,STD U-BOLT  ANVIL FIG 137,0.75,0
255,50,SP-ITEM,STEAM TRAP,.75" SW YARWAY STEAM TRAP,.75",,SW YARWAY STEAM TRAP,0.75,0
256,32,FTG,TEE,.75" TEE A403-WP316/316L S/10s SEAMLESS SS,.75",,TEE A403-WP316/316L S/10s SEAMLESS SS,0.75,0
257,32,FTG,TEE,.75" TEE FEMALE .75" CPI 316SS PARKER # 12-12-12-JBZ-SS,.75",,TEE FEMALE .75" CPI 316SS PARKER # 12-12-12-JBZ-SS,0.75,0
258,18,FTG,90D EL,.75" THRD 90D ELL A182-F316/316L SS "D M",.75",,THRD 90D ELL A182-F316/316L SS "D M",0.75,0
259,37,MISC,ROUND BAR,.75" THRD BAR STOCK PLUG A105 CS,.75",,THRD BAR STOCK PLUG A105 CS,0.75,0
260,38,MISC,ROUND PLUG,.75" THRD BULL PLUG A479 / 316SS,.75",,THRD BULL PLUG A479 / 316SS,0.75,0
261,38,MISC,ROUND PLUG,.75" THRD BULL PLUG A479-316SS ,.75",,THRD BULL PLUG A479-316SS,0.75,0
262,38,MISC,ROUND PLUG,.75" THRD BULL PLUG A497 SS,.75",,THRD BULL PLUG A497 SS,0.75,0
263,38,MISC,ROUND PLUG,.75" THRD HEX PLUG A182-F316/316L SS DUAL GRADE,.75",,THRD HEX PLUG A182-F316/316L SS DUAL GRADE,0.75,0
264,38,MISC,ROUND PLUG,.75" THRD PLUG A105 CS,.75",,THRD PLUG A105 CS,0.75,0
265,38,MISC,ROUND PLUG,.75" THRD PLUG A105 CS  HEX,.75",,THRD PLUG A105 CS  HEX,0.75,0
266,38,MISC,ROUND PLUG,.75" THRD PLUG A105 CS GALVANIZED ,.75",,THRD PLUG A105 CS GALVANIZED,0.75,0
267,38,MISC,ROUND PLUG,.75" THRD PLUG A105 CS WITH LANYARD,.75",,THRD PLUG A105 CS WITH LANYARD,0.75,0
268,37,MISC,ROUND BAR,.75" THRD PLUG A182-F316SS ROUND HEAD,.75",,THRD PLUG A182-F316SS ROUND HEAD,0.75,0
269,38,MISC,ROUND PLUG,.75" THRD PLUG A350-LF2 CLASS 1 CS ,.75",,THRD PLUG A350-LF2 CLASS 1 CS,0.75,0
270,38,MISC,ROUND PLUG,.75" THRD PLUG NITRONIC 60 WITH LANYARD,.75",,THRD PLUG NITRONIC 60 WITH LANYARD,0.75,0
271,37,MISC,ROUND BAR,.75" THRD PLUG, ROUND HEAD, A105 CS,.75",,THRD PLUG, ROUND HEAD, A105 CS,0.75,0
272,37,MISC,ROUND BAR,.75" THRD ROUND HEAD PLUG A105 CS ,.75",,THRD ROUND HEAD PLUG A105 CS,0.75,0
273,37,MISC,ROUND BAR,.75" THRD ROUND HEAD PLUG ALLOY C276-B462-N10276,.75",,THRD ROUND HEAD PLUG ALLOY C276-B462-N10276,0.75,0
274,37,MISC,ROUND BAR,.75" THRD ROUND PLUG A105 CS,.75",,THRD ROUND PLUG A105 CS,0.75,0
275,37,MISC,ROUND BAR,.75" THRD ROUND PLUG A105 KILLED CS,.75",,THRD ROUND PLUG A105 KILLED CS,0.75,0
276,37,MISC,ROUND BAR,.75" THRD ROUND PLUG A105N CS LONG TYPE,.75",,THRD ROUND PLUG A105N CS LONG TYPE,0.75,0
277,37,MISC,ROUND BAR,.75" THRD ROUND PLUG A182-F304/304L SS,.75",,THRD ROUND PLUG A182-F304/304L SS,0.75,0
278,37,MISC,ROUND BAR,.75" THRD ROUND PLUG A182-F316SS,.75",,THRD ROUND PLUG A182-F316SS,0.75,0
279,37,MISC,ROUND BAR,.75" THRD ROUND PLUG A350-LF2 CLASS 1 LTCS,.75",,THRD ROUND PLUG A350-LF2 CLASS 1 LTCS,0.75,0
280,37,MISC,ROUND BAR,.75" THRD ROUND PLUG NITRONIC 60 A276 WITH LANYARD,.75",,THRD ROUND PLUG NITRONIC 60 A276 WITH LANYARD,0.75,0
